Ward,Neighbourhood Number,Neighbourhood Name,English Only,Arabic,Cantonese,French,German,Mandarin,North American Indigenous,Punjabi,Spanish,"Tagalog (Pilipino, Filipino)",Ukrainian,Other,No Response
WARD 4,2681,EDMONTON ENERGY AND TECHNOLOGY PARK,8,0,0,0,0,0,0,0,0,0,1,0,21
WARD 9,5469,PAISLEY,70,1,3,7,0,4,0,3,4,1,1,23,72
WARD 11,6750,TIPASKAN,424,7,8,30,10,7,1,51,19,79,5,164,203
WARD 11,6460,MEYOKUMIN,389,4,8,42,9,3,1,31,39,38,6,77,368
WARD 7,2290,GLENGARRY,579,79,24,42,14,8,1,1,20,20,53,146,254
WARD 10,5210,GRANDVIEW HEIGHTS,211,2,9,7,1,14,0,3,6,3,3,20,156
WARD 2,3170,DOVERCOURT,565,2,4,11,3,5,0,0,10,21,8,33,204
WARD 1,4490,SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4220,JAMIESON PLACE,485,5,24,23,6,14,0,7,7,47,5,81,615
WARD 1,4470,RURAL WEST BIG LAKE,46,0,0,0,2,0,0,0,0,0,2,4,3
WARD 8,6310,HOLYROOD,756,2,6,80,23,5,2,1,8,10,14,38,587
WARD 1,4471,TRUMPETER AREA,252,3,9,22,4,3,0,2,6,10,2,25,86
WARD 1,4730,SUDER GREENS,554,8,32,18,5,17,0,1,13,87,12,120,300
WARD 4,2380,KENNEDALE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3390,ROSSLYN,991,36,21,18,12,9,0,1,9,19,31,43,111
WARD 4,4021,ANTHONY HENDAY HORSE HILL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4475,KINOKAMAU PLAINS AREA,49,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,3280,LORELEI,729,153,17,25,3,7,1,7,14,49,11,167,232
WARD 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3260,LAUDERDALE,430,44,3,17,2,0,1,0,1,18,8,38,631
WARD 2,4330,MITCHELL INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5511,TWIN BROOKS,1332,10,91,25,22,116,1,23,10,15,9,166,418
WARD 1,4030,ARMSTRONG INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,17
WARD 6,1140,MCCAULEY,791,29,88,44,8,27,13,6,27,27,19,254,1012
WARD 7,2550,MONTROSE,785,10,19,24,6,1,15,0,16,13,32,62,483
WARD 11,6492,MILL CREEK RAVINE SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3430,WELLINGTON,705,30,4,37,7,3,0,2,10,48,10,68,256
WARD 7,1160,PARKDALE,716,4,53,57,13,27,0,4,39,28,15,152,494
WARD 1,4090,CANORA,544,10,6,29,11,5,4,4,16,35,8,72,766
WARD 7,1240,VIRGINIA PARK,175,0,1,6,5,0,1,0,2,1,13,14,201
WARD 9,5576,KESWICK AREA,132,1,5,3,1,19,0,3,2,2,1,13,26
WARD 5,4463,RIVERVIEW AREA,89,0,0,4,2,0,0,1,1,0,0,10,53
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 6,1150,OLIVER,5380,76,98,319,68,106,13,20,144,118,86,626,5447
WARD 10,5280,MALMO PLAINS,585,71,18,27,14,93,7,4,23,13,15,240,120
WARD 3,2260,EVANSDALE,1013,116,29,34,9,2,0,7,16,14,27,282,567
WARD 2,3340,PEMBINA,30,0,9,5,0,1,0,0,1,4,0,9,207
WARD 1,4500,SHERWOOD,297,7,34,8,2,8,0,2,5,70,8,32,164
WARD 1,4520,SUMMERLEA,414,12,26,26,11,10,1,1,11,28,13,62,301
WARD 2,1170,PRINCE RUPERT,447,3,12,7,3,9,0,5,2,9,9,105,36
WARD 9,5130,CARTER CREST,310,3,31,9,5,27,0,6,3,5,0,41,171
WARD 9,5090,BROOKSIDE,348,6,2,9,6,5,0,2,3,4,0,10,309
WARD 1,4487,SECORD,646,6,18,20,2,24,0,4,7,112,6,69,216
WARD 11,6510,MILL WOODS PARK,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2120,CANON RIDGE,673,6,0,10,1,1,0,3,7,5,6,21,296
WARD 4,2541,MILLER,483,27,30,31,3,5,1,36,27,23,27,114,310
WARD 11,6200,EKOTA,282,3,7,22,15,4,0,8,7,24,2,44,495
WARD 7,2400,KILDARE,568,23,19,50,15,6,0,1,15,15,56,81,317
WARD 8,6070,CLOVERDALE,260,1,2,14,4,2,1,0,5,2,5,19,123
WARD 3,2241,EAUX CLAIRES,536,71,89,34,2,41,0,24,26,34,18,209,168
WARD 1,4310,MEADOWLARK PARK,849,5,4,37,22,12,1,0,12,36,11,36,154
WARD 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,131,2,17,7,1,9,0,8,3,9,0,39,66
WARD 2,4320,MISTATIM INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4473,HAWKS RIDGE,148,0,0,2,0,0,0,0,1,1,3,1,15
WARD 7,2650,RIVER VALLEY RUNDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6170,DAVIES INDUSTRIAL WEST,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4740,WEBBER GREENS,167,7,34,16,1,22,0,10,11,79,11,82,244
WARD 10,5320,PLEASANTVIEW,1097,8,14,36,36,21,0,8,18,44,15,95,586
WARD 3,3370,RAPPERSWILL,259,30,34,26,0,16,0,3,21,63,3,85,192
WARD 11,6410,MAPLE RIDGE,486,1,1,8,2,0,0,0,1,3,1,5,278
WARD 12,6790,WILD ROSE,702,9,23,45,16,13,0,441,40,76,8,196,871
WARD 5,4560,THORNCLIFF,523,14,15,13,7,10,4,10,11,92,5,76,485
WARD 8,6710,STRATHEARN,822,15,22,97,35,13,4,7,11,10,21,61,362
WARD 10,5220,GREENFIELD,920,2,22,60,29,42,0,7,17,13,29,80,180
WARD 6,1020,BOYLE STREET,1465,55,200,119,26,53,11,13,51,43,26,376,1534
WARD 3,3190,ELSINORE,370,24,44,25,6,18,1,5,12,26,28,86,145
WARD 2,3070,CALDER,785,23,12,58,12,8,9,6,19,27,30,106,654
WARD 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5620,HODGSON,443,19,41,20,6,90,0,30,9,18,1,145,120
WARD 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,4023,ANTHONY HENDAY RAMPART,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4120,DONSDALE,184,5,29,22,8,7,0,4,1,5,6,59,198
WARD 11,6680,SATOO,718,10,18,45,22,6,1,10,28,44,11,70,242
WARD 11,6260,GIRARD INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6110,CPR IRVINE,42,2,1,6,1,4,0,1,0,0,0,8,34
WARD 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5468,GRAYDON HILL,17,1,0,2,0,0,0,0,1,3,0,3,25
WARD 4,2030,BANNERMAN,761,11,7,36,9,2,3,12,28,22,11,101,154
WARD 10,5260,LANSDOWNE,308,3,7,21,13,6,0,3,4,5,9,40,99
WARD 6,3440,WESTMOUNT,1750,17,21,75,20,12,2,7,24,31,10,148,935
WARD 9,5080,BRANDER GARDENS,645,19,9,30,11,15,0,5,16,8,3,95,195
WARD 8,5290,MCKERNAN,590,31,22,56,52,44,11,21,47,32,22,76,104
WARD 9,5453,BLACKMUD CREEK,546,11,42,14,9,32,1,14,17,14,8,106,224
WARD 4,2690,RURAL NORTH EAST SOUTH STURGEON,167,3,0,3,0,1,0,4,0,0,2,31,22
WARD 7,2040,BEACON HEIGHTS,810,7,4,39,13,1,0,3,16,16,51,95,148
WARD 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6300,HILLVIEW,655,13,15,39,21,3,0,25,31,34,7,95,411
WARD 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,2010,ABBOTTSFIELD,315,20,7,62,5,6,14,4,22,18,7,133,72
WARD 9,5467,CAVANAGH,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,2660,RUNDLE HEIGHTS,846,9,2,9,8,0,2,1,12,1,14,209,273
WARD 3,3080,CANOSSA,537,63,41,38,3,13,0,8,19,53,13,124,115
WARD 1,4130,EDMISTON INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,2100,BEVERLY HEIGHTS,909,4,17,37,28,4,2,9,8,3,81,131,399
WARD 11,6540,MORRIS INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3150,CUMBERLAND,490,39,64,26,8,24,0,6,11,62,10,103,1206
WARD 3,2450,LAGO LINDO,556,25,38,35,12,28,2,0,25,20,23,68,537
WARD 10,5030,BEARSPAW,513,5,40,8,11,14,0,4,5,5,2,42,168
WARD 5,3382,RIVER VALLEY LAURIER,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,5370,RIVER VALLEY MAYFAIR,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5400,RIVER VALLEY WHITEMUD,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6160,DAVIES INDUSTRIAL EAST,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6600,RICHFIELD,517,28,19,51,29,5,6,24,27,41,7,164,211
WARD 10,5110,CALGARY TRAIL NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,2050,BELLE RIVE,493,52,98,8,3,36,0,21,11,26,18,161,235
WARD 6,1220,ROSSDALE,258,0,6,15,2,2,0,2,7,4,9,31,131
WARD 6,3300,MCQUEEN,443,2,3,30,14,3,2,0,4,14,25,52,199
WARD 7,1190,RIVER VALLEY KINNAIRD,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5610,HADDOW,654,24,53,52,14,78,1,22,20,27,12,178,413
WARD 11,6470,MEYONOHK,485,5,9,15,3,15,1,13,16,34,2,48,466
WARD 1,4290,MAYFIELD,527,5,4,10,4,2,0,0,6,10,3,25,269
WARD 3,2461,CRYSTALLINA NERA EAST,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2350,HOMESTEADER,713,14,10,38,3,6,1,5,26,26,9,102,320
WARD 4,2251,EBBERS,9,0,0,1,0,0,0,2,2,7,1,6,9
WARD 10,5010,ALLENDALE,598,9,13,28,10,15,0,6,7,13,22,34,503
WARD 4,2311,GORMAN,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6370,KINISKI GARDENS,1040,14,35,61,21,15,1,194,42,66,14,183,504
WARD 9,5476,MAGRATH HEIGHTS,461,7,64,31,8,84,0,40,12,12,11,112,334
WARD 10,5490,SWEET GRASS,527,16,13,35,6,37,0,8,21,12,6,121,259
WARD 2,3290,MCARTHUR INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6450,MENISA,603,6,5,25,32,13,0,96,12,47,12,34,40
WARD 9,5457,CALLAGHAN,599,16,26,25,3,60,0,27,23,19,3,171,368
WARD 10,5460,SKYRATTLER,602,10,17,25,6,29,0,12,12,10,2,80,293
WARD 10,5310,PARKALLEN,614,6,13,32,16,2,1,4,11,12,7,34,301
WARD 1,4485,LEWIS FARMS INDUSTRIAL,12,0,0,0,0,1,0,0,1,0,0,4,15
WARD 8,5520,UNIVERSITY OF ALBERTA,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3020,BARANOW,330,30,39,10,4,7,1,4,9,17,7,104,413
WARD 11,6610,RITCHIE,1385,13,16,66,36,11,1,7,22,11,12,64,404
WARD 1,4590,WEST MEADOWLARK PARK,514,5,7,14,4,5,0,2,14,53,10,73,769
WARD 7,1010,ALBERTA AVENUE,1447,28,114,102,13,20,26,7,59,65,32,271,863
WARD 11,6670,SAKAW,815,4,8,27,18,11,1,144,32,75,8,58,180
WARD 9,5190,FALCONER HEIGHTS,291,10,43,19,11,29,0,3,3,7,17,52,324
WARD 7,1070,CROMDALE,299,12,13,23,4,4,0,1,12,6,9,71,647
WARD 5,4461,THE HAMPTONS,1821,46,92,114,15,93,8,43,43,313,42,403,970
WARD 5,4140,ELMWOOD,680,10,7,24,12,15,0,2,14,69,13,24,128
WARD 2,3090,CARLISLE,676,63,27,18,5,19,1,6,17,28,10,131,360
WARD 10,5060,BLUE QUILL,679,27,23,46,9,45,0,19,37,46,14,297,699
WARD 2,3350,PRINCE CHARLES,206,4,3,11,0,1,0,0,3,10,2,20,326
WARD 1,4011,ANTHONY HENDAY,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,6240,FULTON PLACE,477,2,3,21,12,1,0,0,3,1,16,23,379
WARD 12,6030,BISSET,587,4,6,35,8,6,0,139,25,29,5,135,392
WARD 1,4180,GLENWOOD,1141,12,20,56,24,5,6,26,15,189,16,156,518
WARD 12,6770,WEINLOS,406,2,10,23,9,2,0,175,25,33,6,75,399
WARD 4,2280,FRASER,772,4,5,32,4,4,0,26,35,12,14,89,278
WARD 7,2230,DELWOOD,544,15,17,40,24,1,0,0,15,17,65,107,491
WARD 5,4360,OLESKIW,372,3,25,26,4,11,0,3,5,5,11,49,576
WARD 1,4018,ANTHONY HENDAY BIG LAKE,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4750,ROSENTHAL,121,3,16,11,0,10,0,1,3,53,2,45,267
WARD 8,6620,RIVER VALLEY GOLD BAR,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2080,BELVEDERE,1014,23,40,63,19,14,12,8,25,38,44,212,863
WARD 9,5477,MACTAGGART,376,15,46,24,3,39,0,44,14,10,3,88,56
WARD 9,5466,CASHMAN,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,1130,ELMWOOD PARK,204,9,3,18,1,0,0,0,8,3,12,56,241
WARD 1,4630,WHITE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5250,KEHEEWIN,418,7,30,25,33,23,0,4,11,7,7,57,593
WARD 1,4486,STEWART GREENS,19,1,1,0,0,2,0,2,1,8,1,13,27
WARD 9,5642,SOUTH TERWILLEGAR,1591,37,92,59,6,132,1,28,56,47,8,338,1031
WARD 11,6420,MAPLE RIDGE INDUSTRIAL,6,0,0,0,1,0,0,0,0,0,0,0,20
WARD 8,6550,OTTEWELL,1503,7,15,97,37,9,0,4,21,15,33,94,654
WARD 5,4720,GLASTONBURY,1430,26,48,50,16,31,1,5,28,127,18,235,450
WARD 8,5151,STRATHCONA JUNCTION,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6290,HAZELDEAN,934,3,3,35,26,5,1,0,12,10,4,47,268
WARD 3,3490,GOODRIDGE CORNERS,0,0,0,0,0,0,0,0,0,0,0,0,2
WARD 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5470,STEINHAUER,439,12,29,26,19,28,2,9,15,12,7,81,96
WARD 2,4015,ANTHONY HENDAY MISTATIM,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5230,HENDERSON ESTATES,327,4,41,13,11,23,0,10,5,4,10,65,101
WARD 8,6380,LAMBTON INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,3
WARD 1,4230,JASPER PARK,379,4,10,25,15,7,0,2,4,74,13,56,248
WARD 12,6213,SUMMERSIDE,2044,39,53,144,19,58,0,247,84,161,18,404,1220
WARD 9,5465,HAYS RIDGE AREA,28,0,1,0,1,1,0,1,0,0,0,8,12
WARD 4,2270,EVERGREEN,309,0,1,34,3,0,4,0,2,2,5,3,323
WARD 10,5020,ASPEN GARDENS,415,5,16,28,8,20,1,2,7,0,4,44,80
WARD 5,4570,WEDGEWOOD HEIGHTS,196,10,21,7,4,4,0,3,0,3,3,39,212
WARD 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,6180,EASTGATE BUSINESS PARK,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4160,GARIEPY,482,0,8,10,4,1,0,0,3,3,5,41,180
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5570,WINDERMERE,1180,18,34,46,12,140,0,39,33,23,6,219,1386
WARD 3,2440,KLARVATTEN,803,52,109,37,4,37,1,7,33,44,25,158,551
WARD 3,2463,CRYSTALLINA NERA WEST,141,6,16,12,1,6,0,6,6,6,4,44,112
WARD 7,2420,KILLARNEY,785,80,15,35,16,10,13,25,38,41,36,128,472
WARD 10,5270,LENDRUM PLACE,392,0,0,12,8,14,0,2,7,3,6,30,345
WARD 12,6140,CRAWFORD PLAINS,762,4,9,22,9,5,0,98,24,28,4,69,393
WARD 11,6020,AVONMORE,615,0,5,25,21,1,0,1,9,8,4,23,256
WARD 7,2060,BELLEVUE,230,0,6,14,4,4,0,0,7,0,7,11,198
WARD 9,5463,DESROCHERS AREA,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4580,WEST JASPER PLACE,624,5,27,30,10,4,3,4,12,61,9,81,604
WARD 7,2090,BERGMAN,409,3,12,14,4,0,0,6,6,2,13,62,33
WARD 7,2330,HIGHLANDS,883,2,2,36,7,2,1,2,6,1,22,27,211
WARD 2,4170,GARSIDE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
